source_id,source_name,source_type,source_group,content_mode,authority_level,credibility_level,content_type,research_role,market_scope,access_method,acquisition_mode,update_frequency,latency_class,as_of_date_required,usable_for,url_or_path,last_checked_date,publisher,notes,upstream_sources
sec_apple_10k_2025,Apple FY2025 Form 10-K,text,official_and_industry,filing,L1,A,fact,primary,US,web_search,free,event_driven,filing_cycle,yes,"fundamental;financial;risk",https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,2026-04-14,SEC,"Primary filing for business model, segment context, risk factors, capital allocation.",
apple_q1_2026_results,Apple fiscal Q1 2026 results,text,official_and_industry,press_release,L1,A,fact,primary,US,web_search,free,event_driven,filing_cycle,yes,"financial;event;memo",https://www.apple.com/newsroom/2026/01/apple-reports-first-quarter-results/,2026-04-14,Apple,"Primary quarterly update through fiscal Q1 2026 ended 2025-12-27.",
apple_investor_relations,Apple investor relations hub,text,official_and_industry,press_release,L1,A,evidence,secondary,US,web_search,free,irregular,archival,no,"filings;governance;navigation",https://investor.apple.com/investor-relations/,2026-04-14,Apple,"Landing page for SEC filings and shareholder materials.",
stockanalysis_aapl_history,StockAnalysis AAPL daily history,structured,market_data,market_data,L5,B,fact,secondary,US,web_search,free,daily,delayed,yes,"technical;price_context",https://stockanalysis.com/stocks/aapl/history/,2026-04-14,StockAnalysis,"Useful for recent daily closes and short-term price behavior.",
financecharts_aapl_summary,FinanceCharts AAPL summary,structured,market_data,market_data,L5,B,fact,secondary,US,web_search,free,daily,delayed,yes,"technical;valuation;memo",https://www.financecharts.com/stocks/AAPL,2026-04-14,FinanceCharts,"Used for recent close, 52-week range, market cap and TTM multiples.",
macrotrends_aapl_history,MacroTrends AAPL stock history,structured,market_data,market_data,L5,B,fact,secondary,US,web_search,free,daily,delayed,yes,"long_range_price;technical",https://www.macrotrends.net/stocks/charts/AAPL/apple/stock-price-history,2026-04-14,MacroTrends,"Useful for multi-year price context and 52-week statistics.",
macrumors_foldable_delay_2026,MacRumors summary of Nikkei foldable iPhone delay report,text,social_and_community,news,L4,C,opinion,signal,US,web_search,free,event_driven,live,yes,"event;risk;sentiment",https://www.macrumors.com/2026/04/07/foldable-iphone-delays-could-push-launch-into-2027/,2026-04-14,MacRumors,"Event-risk source summarizing Nikkei Asia reporting on engineering delays; useful as a signal, not as a standalone thesis anchor.","nikkei asia report"
barrons_aapl_technical_apr2026,Barron's AAPL technical setup,text,sellside_research,news,L4,B,logic,secondary,US,web_search,paid,event_driven,live,yes,"technical;sentiment",https://www.barrons.com/articles/dow-industrials-tests-key-technical-threshold-watch-apple-home-depot-stocks-d7e59fb5,2026-04-14,Barron's,"Used for third-party technical framing around 200-day support and upside range; access may require subscription.","market price data"
yahoo_finance_aapl_quote,Yahoo Finance AAPL quote,structured,market_data,market_data,L5,B,fact,secondary,US,web_search,free,daily,delayed,yes,"technical;valuation;price_context",https://finance.yahoo.com/quote/AAPL,2026-04-15,Yahoo Finance,"Convenient quote page for market cap, intraday move and valuation snapshot.",
x_aapl_sentiment_stream,X sentiment stream for AAPL,text,social_and_community,news,L4,D,sentiment,signal,US,web_search,free,real_time,live,yes,"sentiment;idea_generation",https://x.com/search?q=%24AAPL&src=typed_query,2026-04-15,X,"Use only for narrative and crowd sentiment scanning, not for core facts.",
youtube_aapl_creator_watch,YouTube creator watchlist for AAPL,text,social_and_community,news,L4,C,opinion,signal,US,web_search,free,irregular,live,yes,"idea_generation;sentiment",https://www.youtube.com/results?search_query=apple+stock,2026-04-15,YouTube,"Long-form creator views can surface debates, but must be traced back to evidence before reuse.",
sellside_research_purchase_queue,Research purchase queue,derived,derived_analysis,note,L6,C,logic,signal,multi,repo_local,manual,irregular,archival,yes,"sellside;workflow",memory/skills/financial-quality.md,2026-04-15,repo_local,"Placeholder workflow artifact for scan -> recommend -> approve -> ingest paid research.",
derived_aapl_apr2026_thesis,AAPL integrated April 2026 thesis snapshot,derived,derived_analysis,note,L6,B,logic,secondary,US,derived,manual,irregular,archival,yes,"memo;thesis",cases/aapl-2026-04/investment-memo.md,2026-04-14,repo_local,"Derived conclusion built from filing, quarterly update, market data and event sources.","sec_apple_10k_2025;apple_q1_2026_results;financecharts_aapl_summary;stockanalysis_aapl_history;macrumors_foldable_delay_2026"
